id,explanation,body,title,signature,kind
1,顧客:メールアドレス認証,"えぶりプラスにご登録いただきありがとうございます。

本メールは、ご登録いただいたメールアドレスが正しいかどうか確認するための認証用メールです。

メール認証を完了するために、下記のリンクからえぶりプラスにアクセスをお願いいたします。
<%= link_to confirmation_url(@resource, confirmation_token: @token), confirmation_url(@resource, confirmation_token: @token) %>


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください",メールアドレス認証のご確認の連絡,テストsignature1,1
2,顧客:登録サンクス,"[[user.name]] 様

えぶりプラスにご登録いただきありがとうございます。
会員登録が完了いたしました。
引き続きえぶりプラスのサイトをお楽しみください。

-----------------------------------------

■レクの依頼から開催までに流れ

1. 興味があるレクを選択しましょう
以下URLのえぶりプラスにアクセスして気になるレクを探しましょう。
レクの詳細ページから相談・依頼ができます。
[[site.catalog]]

2. 相談・依頼をしましょう
レクの気になる点の質問や希望日時、人数などを「相談・依頼の専用フォーム」に記載してパートナーに相談・依頼を行います。

3. 要望をパートナーと調整して正式依頼をしましょう
相談する時は直接パートナーとチャットができます。パートナーよりチャットで返信が来ますとご登録されたメールアドレス宛に通知がされます。相談段階で、要望や日程の条件が合えば画面に表示される、正式依頼ボタンより正式お申し込みを行います。

4. パートナーが承認してレク開催決定です
正式依頼をした内容をパートナーが承諾すると正式に依頼が決定します。


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",登録完了のお知らせ,テストsignature2,2
3,顧客:パスワード再発行,"[[user.name]] 様

えぶりプラスにご登録いただきありがとうございます。
会員登録が完了いたしました。
引き続きえぶりプラスのサイトをお楽しみください。

-----------------------------------------

■レクの依頼から開催までに流れ

1. 興味があるレクを選択しましょう
以下URLのえぶりプラスにアクセスして気になるレクを探しましょう。
レクの詳細ページから相談・依頼ができます。
[[site.catalog]]

2. 相談・依頼をしましょう
レクの気になる点の質問や希望日時、人数などを「相談・依頼の専用フォーム」に記載してパートナーに相談・依頼を行います。

3. 要望をパートナーと調整して正式依頼をしましょう
相談する時は直接パートナーとチャットができます。パートナーよりチャットで返信が来ますとご登録されたメールアドレス宛に通知がされます。相談段階で、要望や日程の条件が合えば画面に表示される、正式依頼ボタンより正式お申し込みを行います。

4. パートナーが承認してレク開催決定です
正式依頼をした内容をパートナーが承諾すると正式に依頼が決定します。


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",パスワード再設定のお知らせ,,3
4,顧客:相談開始,"<%= @partner.username %>  様

えぶりプラスをご利用いただきありがとうございます。
<%= @recreation.title %> の相談・依頼が開始されました。

下記のリンクからパートナーとチャットができます。
ご要望をパートナーに伝えましょう。
※チャットページにアクセスするにはログインが必要です。
<%= link_to @url, @url %>


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",相談・依頼が開始されました,,4
5,顧客:新規メッセージ,"<%= @partner.username %>  様

えぶりプラスをご利用いただきありがとうございます。
ご相談中のレク<%= @recreation.title %>のパートナーからメッセージが届いています。

下記のリンクからメッセージをご確認ください。
※チャットページにアクセスするにはログインが必要です。
<%= link_to @url, @url %>


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",新着メッセージが届きました,,5
6,顧客:正式依頼_PTが承認,"[[user.name]] 様

えぶりプラスをご利用いただきありがとうございます。
正式依頼した「[[task.recreationName]]」がパートナー様より承認されました。
承認されたためレクの開催が決まりました。
開催日を楽しみに待ちましょう

レク詳細ページのリンクはこちら
[[task.catalogOrderDetailUrl]]

注意事項
・承認後、レクをキャンセルする事はできません。


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",パートナー様が正式依頼を承認されました,,6
7,顧客:正式依頼_PTが拒否,"[[user.name]] 様

えぶりプラスをご利用いただきありがとうございます。
正式依頼した「[[task.recreationName]]」がパートナー様よりお断りされました。
お断りされた理由をパートナー様に伺ってみましょう。

チャットページのリンクはこちら
[[task.catalogChatUrl]]


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",パートナー様が正式依頼をお断りされました,,7
8,顧客:終了報告投稿,"[[user.name]] 様

えぶりプラスをご利用いただきありがとうございます。
開催した「[[task.recreationName]]」についてパートナーから終了報告のご確認依頼が届きました。

終了報告とは、パートナー様と施設様レクが開催された事や金額を確認し、請求書を発行するために行っております。
内容ご確認の上、承認をお願い致します。
承認後、確認いただいた内容の請求書を翌月５日までに発行致します。

終了報告確認ページへのリンクはこちら
[[task.endReportConfirmUrl]]

注意事項
・終了報告を「お断り」する場合パートナー様がなぜお断りされたのか理解するために、なぜお断りをするのかその理由をチャットでお伝えください。


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",パートナー様から終了報告のご確認依頼が届きました,,8
9,PT:メールアドレス認証,"えぶりプラスにご登録いただきありがとうございます。

本メールは、ご登録いただいたメールアドレスが正しいかどうか確認するための認証用メールです。

メール認証を完了するために、下記のリンクからえぶりプラスにアクセスをお願いいたします。
[[validate_id]]


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",メールアドレス認証のご確認の連絡,,9
10,PT:登録サンクス,"[[user.name]] 様

えぶりプラスにご登録いただきありがとうございます。
会員登録が完了いたしました。

下記のリンクからえぶりプラスにアクセスすることができます。
※アクセスするにはログインが必要です。
[[site.partner]]

※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",登録完了のお知らせ,,10
11,PT:パスワード再発行,"えぶりプラスをご利用いただきありがとうございます。

パスワード再設定用のリンクを送付いたします。
下記のリンクより、変更をお願いいたします。

再発行URL
[[validate_id]]


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",パスワード再設定のお知らせ,,11
12,PT:相談開始,"[[user.name]] 様

えぶりプラスをご利用いただきありがとうございます。
[[task.facilityName]]から「[[task.recreationName]] 」のレクに相談・依頼が届きました。

下記リンクから内容をご確認ください。
※ページにアクセスするにはログインが必要です。
[[site.partner.chat]]


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",介護施設から相談・依頼が届きました,,12
13,PT:新規メッセージ,"[[user.name]] 様

えぶりプラスをご利用いただきありがとうございます。
[[task.facilityName]]からメッセージが届いています。

下記のリンクからメッセージをご確認ください。
※ページにアクセスするにはログインが必要です。
[[site.partner.chat]]

※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",介護施設から新着メッセージが届きました,,13
14,PT:正式依頼,"[[user.name]] 様

えぶりプラスをご利用いただきありがとうございます。

[[task.facilityName]]から正式依頼が届いています。
下記のリンクから内容をご確認ください。
※ページにアクセスするにはログインが必要です。
[[site.partner.request]]

注意事項
・正式依頼は一度承認するとキャンセルができないためよくご確認いただきますようお願いいたします。
・正式依頼をお断りする場合、介護施設はなぜお断りをされたのか分からないため、その理由を介護施設にチャットで伝えるようにしましょう。
・材料費が発生するなど人数確認が必要なレクの場合、期日までに参加人数の確認の依頼をお願いいたします。


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",介護施設から正式依頼が届きました,,14
15,PT:終了報告拒否,"[[user.name]] 様

えぶりプラスをご利用いただきありがとうございます。

[[task.recreationName]] の終了報告が施設様よりお断りされました。
施設様にお断りされた理由をチャットで伺いましょう。
施設様とメッセージ後、再度終了報告をお願い致します。

注意事項
・終了報告が施設様より承認されないと報酬が受け取れません。


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",終了報告がお断りされました,,15
16,PT:終了報告承認,"[[user.name]] 様

えぶりプラスをご利用いただきありがとうございます。
[[task.recreationName]] の終了報告が施設様より承認されました。
この案件は以上となります。お疲れ様でした！
次の案件をお待ちください。

振り込みについて
・報酬の受け取りは施設様が終了報告を承認してから翌々月末に行われます。土日祝日の場合次の営業日となります。


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",終了報告が承認されました,,16
17,PT:終了報告投稿依頼,"[[user.name]] 様

えぶりプラスをご利用いただきありがとうございます。
[[task.recreationName]] の開催お疲れ様でした。
パートナー様と施設様にとって素敵な時間となりましたら幸いです。

レクの開催が終了しましたので、
報酬を受け取るために終了報告をお願い致します。
終了報告をしますと施設様が内容を確認します。
施設様が内容を確認し承認しますと報酬を受け取れます。

下記のリンクから内容をご確認ください。
※ページにアクセスするにはログインが必要です。
[[site.partner.endReport]]

注意事項
・終了報告がお断りされた場合、チャットでその理由を質問して相互理解をお願い致します。
・報酬の受け取りは施設様が終了報告を承認してから翌々月末に行われます。土日祝日の場合次の営業日となります。


※このメールアドレスは送信専用です。返信をいただいてもご回答できませんのでご了承ください。",終了報告の投稿依頼のお知らせ,,17
