0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Id,タイトル,サブタイトル,所要時間,このようなことをやります,当日の流れとタイムスケジュール,お借りしたいもの,持ち込むもの,その他,作成日,更新日,YouTubeID,チラシ色,価格,施設請求材料費,パートナー材料費,キャパシティ,パートナー謝礼,Instructor position,公開,base_code,Is online,Instructor name,Instructor title,Instructor description,Instructor image,料金を公開,施設追加費用,カテゴリー,ステータス,種類,都道府県,追加タグ
40,世界に一つだけの新しい旅のスタイル,あなたが登場する20Pの旅の絵本を特産品とお土産も一緒にお届けします,30,"利用者の皆さんそっくりのキャラクターが主人公となって、旅の絵本に登場します。旅の絵本は20ページのツアーアルバムのようなもので、弊社が企画したツアーを忠実に再現しています。
 Vツアー旅の絵本 5つのおすすめポイントをご紹介
 ① 施設にいながら旅行気分を味わっていただきます 。
 ② 普段なかなか会えないご家族やお孫さんとの参加 、ひとり旅も楽しく演出し 、ご希望の旅行スタイルにアレンジ可能です 。
 大切な方の誕生日や結婚記念日など、特別な思い出作りの旅をよりリアルに演出します！
 ③ オンラインツアーとは違い 、あなたが登場する絵本として残るので一生の宝物になりま
 す。
 ④ 制作前には「 旅行先をどこにしようかなぁ 」など 、施設の方などと利用者共同で制作過程を考え楽しむことができ 、 ツアーを作り上げる過程もレクリエーションの一環 となります 。
 ⑤ 旅行会社 が このツアーを作る魅力は 、ツアースケジュールや見どころなどを忠実に再現できる ところに あります。 例えば 、 添乗員や バスガイド 、テル支配人のお出迎えや 現地スタッフも参加しますよ。",商品が届いた際（開封時）に皆さんがキャラクターとして登場する絵本を見ながらお楽しみください（30～45分程度）。,ー,ー,"<p><span style=""color: rgb(0, 0, 0);"">・開催方法は事前にツアー内容を施設様と打合せをし、商品お届け後（郵送後）、商品開封時に皆さんで楽しんでいただくイベントイメージです。</span></p><p><br></p>",2021-11-28 15:05:36 +0900,2022-05-05 18:22:59 +0900,1PAbz5L84pQ,gray,38500,0,0,0,28500,,TRUE,E15,TRUE,Vツアー,,"ユニバーサルトラベルビューロー株式会社
 事前にツアー内容を施設様と打合せをし、商品お届け後（郵送後）、商品開封時に皆さんで楽しんでいただきます。",https://matching-system-production.s3.ap-northeast-1.amazonaws.com/uploads/recreation/instructor_image/40/6147e1df31cb08ee13318360-730_1.5.jpg?X-Amz-Expires=600&X-Amz-Date=20220518T103212Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASN7APX6NOANAVIJ2%2F20220518%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=5d99410c6890add277446eda26434439a83e5ea3eb05715902a6ac646217d12d,TRUE,2000,travel,published,mailing,全国,郵送キット
270,苔テラリウム制作体験,お手軽な園芸療法！手作りキット,60,"割箸・霧吹きの水を準備するだけでOK！ 緑に触れる園芸療法と同じ効果が得られるテラリウム作りを是非体験して下さい。
 

 テラリウム制作は講師なんていらないです。自分の好きなようにお気に入りの容器に土を引いて、苔を植えるだけで簡単で可愛い作品の出来上がり！  
 

 

 ご郵送費：別途 
 お手入れ：2週間に一度霧吹き 
 設置場所：直射日光が当たらない場所 
 楽しみ方：季節に合わせて飾りや小物を変更等
 容器サイズ：9㎝✖️9㎝
 

 【作り方のイメージ】
 ①茶色い土
 （底に敷きます）
 ②黒い土
 （カビ防止用です。茶色い土やカラーの土と混ぜて使用してもいいです）
 ③カラーの土
 （白とピンクまたは白とブルーが付きます。彩を加えることにより更にきれいに仕上がります）
 ④苔やフィギアなどで装飾",,霧吹き,,,2022-04-06 11:56:14 +0900,2022-05-05 18:24:50 +0900,,,0,1500,1250,,0,,TRUE,,FALSE,MossRoom,部屋の中の癒しの森の住人,"秋田県で苔の販売店をしております。
 MossRoom  
 部屋の中の癒しの森の住人
 

 お手軽に簡単に苔テラリウムを作れるキットを販売しております。
 是非、緑に触れる園芸療法と同じ効果が得られるテラリウム作りを体験して下さい。",https://matching-system-production.s3.ap-northeast-1.amazonaws.com/uploads/recreation/instructor_image/270/CapD20211223_1.jpeg?X-Amz-Expires=600&X-Amz-Date=20220518T103211Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASN7APX6NOANAVIJ2%2F20220518%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=7747705a971163ba7708e0abe2de847cb4b304a208431facc4db3e314dd65023,TRUE,2000,work,published,mailing,全国,郵送キット
269,土佐和紙かご作り,一閑張りの手法を使って手軽に作品作り,,"土佐和紙の中でも、「夢幻染め」というオリジナルブランド！淡い色合いの草木染めや、重厚感のあるダークカラーの顔料紙など、1枚1枚が世界に２つと無い1点ものの個性的な土佐和紙の風合いを活かしながら、作業工程を少なくし、手軽に楽しめるキットを使用します。
 

 ちぎって貼る単純な作業工程ですが、完成した作品はクオリティの高いオリジナル作品です。
 実用的なカゴはプレゼントされても喜んでいただけます。
 

 ◆手すきの和紙と竹カゴ(自然素材)を接着させるのりや撥水仕上げ剤も健康や地球環境に十分に配慮し植物由来のものを使用します。
 

 竹カゴに和紙を貼り重ね、撥水仕上げを塗り乾燥して完成します。(完成品は水洗い不可)
 

 ※ かごは2種類から選択可",ー,ー,ー,"◆キット郵送(作り方手順書入り)・全国対象

 ・SDG's17目標の一つ「すべての人に健康と福祉を」をターゲットに考え、デイサービスや地域サロン等の入居者・参加者(高齢者や子供)に物を作る喜びや満足感を感じてもらう。
 ・手段として、SDG's17項目の一つ「作る責任 使う責任」もターゲットと考え、ボンドやプラスチックではなく自然な素材で作る一閑張りの手法を使用する。",2022-03-28 14:14:10 +0900,2022-05-05 18:24:50 +0900,OXrFzalsYTI,,0,1500,1300,,0,,TRUE,,FALSE,清水摩紀 (麻手のこづち代表),夢幻染めikkanbari講師,"愛知県名古屋市在住
 

 40代で、日本の民族衣装である着物の美しさや古来から受け継がれる伝統工芸の奥深さに魅了され、日々の暮らしに気軽に取り入れ楽しみたい思いから、自身の祖母から受け継いだ着物をハンドメイドでリメイクを始める。
 

 その後、古布や古書、柿渋を用いた一閑張りと出会い、Bagの制作を手がけるようになる。
 

 2020年に土佐和紙の第一人者・田村晴彦氏の『夢幻染め和紙』を目にし、感銘を受け、作品に取り入れる事によって、より自由で独創的な世界観を表現している。
 

 麻手のこづち
 

 【1000年の伝統×新しい発想と技術】
 

 和のテイストに対して高い意識を持ち、オリジナリティを求めている女性の皆様にご紹介します。
 淡い色合いの草木染めや、重厚感のあるダークカラーの顔料紙など、1枚1枚が世界に２つと無い1点ものの個性的な土佐和紙を基調とし、古布や書を組み合わせて制作しています。
 

 麻手のこづちの思い描くイメージを自由に表現したオリジナル手作りBagを中心に、イベント出展や、海外向けの販売サイト、口コミなどで多数のご支持をいただき活動しております。",https://matching-system-production.s3.ap-northeast-1.amazonaws.com/uploads/recreation/instructor_image/269/%E3%83%97%E3%83%AD%E3%83%95.jpeg?X-Amz-Expires=600&X-Amz-Date=20220518T103211Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASN7APX6NOANAVIJ2%2F20220518%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=6327a471fe6096513c201122ce72acc9572b7114a808a7dbf1c4761282987743,TRUE,2000,work,published,mailing,全国,郵送キット
267,クラフトバンドで小さなかご （郵送キット）,リハビリの先生による,60,"説明書と動画つきで「小さなかご」を作成するキットを郵送します。小さなかごを作って生活の中で使ってみましょう。自分で作った作品を生活の中で使うことによって楽しみや思い出になると思います。
 バンドの色はランダムでお届けしますので、是非お楽しみにしてください。
 かごの大きさは7ｃｍ（幅）×7ｃｍ（奥行）×6ｃｍ（高さ）になり、小物を入れるのにぴったりだと思います。","制作時間
 60分程度",はさみ、ボンド、洗濯ばさみ、牛乳パック,"郵送物の内容
 ・かご作成の材料（バンド、ブレード）
 ・説明書",,2022-03-22 17:11:14 +0900,2022-05-05 18:24:49 +0900,ZQ5EGDUHn_k,,4100,500,600,,3000,,TRUE,,FALSE,てつくらふと,作業療法士、健康管理士,"作業療法士として精神科病院、高齢者のデイサービス、生活介護、放課後デイサービスなど様々な利用者さんと関わった経験があります。現在はクラフトバンドを中心にYouTube配信も行なっています。作業療法士として難易度を調整しながら皆様にも楽しんで欲しいと思っています。
てつくらふと クラフトバンド
 ",https://matching-system-production.s3.ap-northeast-1.amazonaws.com/uploads/recreation/instructor_image/267/%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%E5%86%99%E7%9C%9F_.PNG?X-Amz-Expires=600&X-Amz-Date=20220518T103211Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASN7APX6NOANAVIJ2%2F20220518%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=ad169d71232dd0dbe7a1893d6e9a2470cbcb2358c809585fc77cdda2a12ec67c,TRUE,2000,work,published,mailing,全国,郵送キット
250,ミニ門松制作キット,ミニ門松制作キットの郵送,60,"お正月を迎えるためのミニ門松を作るキットのお届です。
 ミニ門松を作るために必要な材料を一袋にしてお届けいたします。作るためのレシピ（説明書）や、イメージ画像もついていますので、誰でも簡単に作ることができます。",,,,,2022-01-17 11:11:55 +0900,2022-05-05 18:24:49 +0900,,,2100,1800,1500,,1500,,TRUE,,TRUE,大金 タケヒロ,フラワーアーティスト,"花屋になって25年が経ちました。
 東海三県の様々な会場で出張レッスンや生花の生けこみをしております。
 レッスンはご参加いただく方に合わせてお楽しみいただけるように。また、お花の装飾は会場の雰囲気を損なわないような仕上がりを心がけております。",https://matching-system-production.s3.ap-northeast-1.amazonaws.com/uploads/recreation/instructor_image/250/Flower_0051.JPG?X-Amz-Expires=600&X-Amz-Date=20220518T103211Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASN7APX6NOANAVIJ2%2F20220518%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=752d2f78a3b3f5fb125e41fba105ca36af31fcd71a2f87221ee0031aeabd56c6,TRUE,2000,work,published,mailing,全国,郵送キット
246,アロマペーパーフラワー芳香剤キット郵送,アロマの香る芳香剤,30,レクリエーションの時間に施設様のみで行って頂く事になります。材料一式を郵送致します。作り方の冊子・アロマのミニ知識&使用アロマの香りの効能メモ付。香り付けはあらかじめしてあります。香りを選ぶ事も可能ですがその際はアロマオイルを購入していただき施設様で香り付けしていただきます。,キット郵送の為、お好きなたタイミングで開催いただけます。,,,,2022-01-13 13:11:50 +0900,2022-05-05 18:24:49 +0900,,,1500,800,660,,1100,,TRUE,,TRUE,小林小百合,アロマアドバイザー,アロマの知識を活かした高齢者の方々への認知症予防をお伝えします,https://matching-system-production.s3.ap-northeast-1.amazonaws.com/uploads/recreation/instructor_image/246/7B4B8DE4-EEF8-41A0-ABBB-E3A8DA13BD77.jpeg?X-Amz-Expires=600&X-Amz-Date=20220518T103211Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASN7APX6NOANAVIJ2%2F20220518%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=249b06b834386c23b2c9600c9a119c2bbb74f75909c78a16a33152aad6315b7d,TRUE,2000,work,published,mailing,全国,郵送キット
231,クラフトバンドでコースター作成 郵送キット,リハビリの先生による,60,"説明書と動画つきで簡単にコースターを作成することができます。みんなでコースターを作って生活の中で使ってみましょう。自分で作った作品を生活の中で使うことによって楽しみや思い出になると思います。
 コースターの色はランダムでお届けしますので、是非お楽しみにしてください。画像2枚目にデザイン例をご紹介しております。",制作約30分,"ご用意いただきたいもの
 ハサミ、ボンド、洗濯ばさみ、両面テープ","キット内容
 コースター作成の材料（バンド・ブレード）・説明書","●利用者様1-5人の場合はスタッフが1-2人、利用者様が6-10人の場合はスタッフが2-3人を目安で参加してもらえるとスムーズな運営が行えるかと思います。
 ●作品の途中で短時間ではありますがハサミを使用する場面がありますので安全にお気を付けください。
 ●キットの色のご要望には添えかねますのでご了承ください。",2022-01-05 15:40:03 +0900,2022-05-05 18:24:48 +0900,,,4100,600,500,,3000,,TRUE,,TRUE,てつくらふと,作業療法士、健康管理士,"作業療法士として精神科病院、高齢者のデイサービス、生活介護、放課後デイサービスなど様々な利用者さんと関わった経験があります。現在はクラフトバンドを中心にYouTube配信も行なっています。作業療法士として難易度を調整しながら皆様にも楽しんで欲しいと思っています。
てつくらふと クラフトバンド
",https://matching-system-production.s3.ap-northeast-1.amazonaws.com/uploads/recreation/instructor_image/231/6188df2ecf99b9040f76471d-730_1.5.jpg?X-Amz-Expires=600&X-Amz-Date=20220518T103211Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASN7APX6NOANAVIJ2%2F20220518%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=a18c6413592278d3e1387b550064864bb45d0c4f71d20fcee3a658db74f866f7,TRUE,2000,work,published,mailing,全国,郵送キット
230,ちぎり絵講座(キット郵送),温もり溢れる優しい作品が手軽にできます！,45,色紙や色紙などの材料の他、季節を感じられる題材を選び下絵もお一人ずつ用意します。 材料を用意する手間が省け、気軽に楽しみながらちぎり絵を制作していただけます。 ・制作の流れやコツを記載したアドバイスシートや試作を同封します。 ・利用者様のご希望等に応じて難易度を変えてご用意します。,"準備・片付け10分
 制作約35分","新聞紙
 はさみ
 のり
 ウェットティッシュ
 鉛筆",,"作り方、アドバイスなど施設様別、内容別にご用意し送付させていただきます。
 
 (下絵パターン例)
 ・奴さん
 ・鬼と福さん(節分)
 ・金魚
 ・クリスマスツリー
 ・鳥
 ・果物
 ・手鞠
 ・少女",2022-01-05 15:20:58 +0900,2022-05-05 18:24:48 +0900,,,4100,400,300,,3000,,TRUE,,TRUE,岡友見,絵画造形講師 教員免許,"大学在学中は様々な造形制作を経験。
 卒業後は特別支援学校とサポート校の講師を経て現在は自宅で絵画教室を運営している。",https://matching-system-production.s3.ap-northeast-1.amazonaws.com/uploads/recreation/instructor_image/230/5f0d52070c4ada3624993195-96_1.jpg?X-Amz-Expires=600&X-Amz-Date=20220518T103211Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASN7APX6NOANAVIJ2%2F20220518%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=e62d66c6bf240ba100923c0b4cf40896ee6a41f82aa1305bc90ebae1dc50b687,TRUE,2000,work,published,mailing,全国,郵送キット
226,つまみ細工 お正月飾り作り 郵送キット,お正月にぴったりのつまみ細工,60,"つまみ細工とは、和布を針や糸を使わずに細工する伝統工芸です。2021年のお正月は、つまみ細工でアレンジを加えたフレームお正月飾りでお部屋をぱっと華やかに彩りましょう！ご自身のお部屋に飾っても良し、ご家族やご友人へ贈るのも良しの、オリジナルのお正月フレームを作りましょう！
 手順書をおつけしますので、初めての方にも素敵な作品を作っていただけます。
 

 郵送キットの為、お好きなタイミングで開催頂けます。",60分プログラム,,"ウェットティッシュ,カップ（ボンドを入れる容器）,ボンド,下敷き","
 
",2021-12-13 06:40:06 +0900,2022-05-05 18:24:48 +0900,,,2700,1200,1000,,2000,,TRUE,,TRUE,竹内綾,レクリエーション介護士,"レクリエーション介護士2級
幅広い世代に「つまみ細工」をお伝えし、楽しみ、喜び、生きがいを感じる教室を開催しています。",https://matching-system-production.s3.ap-northeast-1.amazonaws.com/uploads/recreation/instructor_image/226/616e5451ff0107c5452a2fd0-614_1.25.jpg?X-Amz-Expires=600&X-Amz-Date=20220518T103211Z&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIASN7APX6NOANAVIJ2%2F20220518%2Fap-northeast-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Signature=10ec16c1a9b4a3e7ba0bfebfa99f4e78d98065af8d1c7d05dca6053b0f28deb6,TRUE,2000,work,published,mailing,全国,郵送キット
