レクID,開催回数
145,195
109,104
93,80
108,61
89,57
132,53
93,50
199,47
110,39
155,39
43,34
103,33
111,33
139,26
25,24
141,20
200,19
266,19
153,18
154,18
147,16
146,15
195,15
11,14
70,14
194,13
97,12
71,11
113,11
128,11
271,11
151,10
248,10
89,9
118,9
9,8
142,8
150,8
8,7
212,7
245,7
247,7
241,6
243,6
287,6
81,5
148,5
94,4
126,4
145,4
175,4
19,3
90,3
96,3
131,3
134,3
212,3
213,3
236,3
247,3
250,3
276,3
42,2
82,2
127,2
133,2
171,2
174,2
188,2
208,2
238,2
258,2
262,2
266,2
37,1
81,1
91,1
99,1
100,1
115,1
117,1
164,1
173,1
177,1
178,1
190,1
205,1
207,1
211,1
217,1
236,1
237,1
239,1
240,1
242,1
246,1
275,1
104,0
129,0
214,0
